Pi (Pa)            ,Pf (Pa)            ,Vi (m³)             ,Vf (m³)            ,ΔP (Pa)            ,ΔV (m³)             ,C = ΔV / ΔP (m⁴·s²/kg) ,Cr = (ΔV / ΔP)*(1/Z) (m⁴·s²/kg)
319680.4,639360.8,746.73,373.37,319680.4,-373.37,-0.00117,-0.0013
321207.54,642415.08,751.26,375.63,321207.54,-375.63,-0.00117,-0.0013
322734.67,645469.35,755.78,377.89,322734.67,-377.89,-0.00117,-0.0013
324261.81,648523.62,760.3,380.15,324261.81,-380.15,-0.00117,-0.0013
325788.94,651577.89,764.82,382.41,325788.94,-382.41,-0.00117,-0.0013
327316.08,654632.16,769.35,384.67,327316.08,-384.67,-0.00118,-0.00131
328843.22,657686.43,773.87,386.93,328843.22,-386.93,-0.00118,-0.00131
330370.35,660740.7,778.39,389.2,330370.35,-389.2,-0.00118,-0.00131
331897.49,663794.97,782.91,391.46,331897.49,-391.46,-0.00118,-0.00131
333424.62,666849.25,787.44,393.72,333424.62,-393.72,-0.00118,-0.00131
334951.76,669903.52,791.96,395.98,334951.76,-395.98,-0.00118,-0.00131
336478.89,672957.79,796.48,398.24,336478.89,-398.24,-0.00118,-0.00132
338006.03,676012.06,801.01,400.5,338006.03,-400.5,-0.00118,-0.00132
339533.17,679066.33,805.53,402.76,339533.17,-402.76,-0.00119,-0.00132
341060.3,682120.6,810.05,405.03,341060.3,-405.03,-0.00119,-0.00132
342587.44,685174.87,814.57,407.29,342587.44,-407.29,-0.00119,-0.00132
344114.57,688229.15,819.1,409.55,344114.57,-409.55,-0.00119,-0.00132
345641.71,691283.42,823.62,411.81,345641.71,-411.81,-0.00119,-0.00132
347168.84,694337.69,828.14,414.07,347168.84,-414.07,-0.00119,-0.00133
348695.98,697391.96,832.66,416.33,348695.98,-416.33,-0.00119,-0.00133
350223.12,700446.23,837.19,418.59,350223.12,-418.59,-0.0012,-0.00133
351750.25,703500.5,841.71,420.85,351750.25,-420.85,-0.0012,-0.00133
353277.39,706554.77,846.23,423.12,353277.39,-423.12,-0.0012,-0.00133
